model,framework,data_pct,feature,P,R,F
lv_spacy_cnn_1pct,CNN,1,Abbr,1.0,1.0,1.0
lv_spacy_cnn_5pct,CNN,5,Case,0.9918775200140244,0.9934449256701393,0.9926606041112312
lv_spacy_cnn_5pct,CNN,5,Gender,0.9927411417322834,0.9939640305493964,0.9933522097747138
lv_spacy_cnn_5pct,CNN,5,Number,0.9938368509797081,0.9946464940354961,0.9942415076779897
lv_spacy_cnn_5pct,CNN,5,Person,0.991992720655141,0.9932580174927114,0.9926249658563234
lv_spacy_cnn_5pct,CNN,5,PronType,0.99606962380685,0.9980309423347398,0.9970493185330898
lv_spacy_cnn_5pct,CNN,5,Evident,0.9920226453937211,0.9915123456790124,0.9917674298945203
lv_spacy_cnn_5pct,CNN,5,Mood,0.9918854415274463,0.9916487711763302,0.9917670922324305
lv_spacy_cnn_5pct,CNN,5,Polarity,0.9935769995412143,0.9928178484107579,0.9931972789115646
lv_spacy_cnn_5pct,CNN,5,Tense,0.9914477703115455,0.9904393816110659,0.9909433194260711
lv_spacy_cnn_5pct,CNN,5,VerbForm,0.9925546765937645,0.9917854928704277,0.9921699356539266
lv_spacy_cnn_5pct,CNN,5,Voice,0.9925215723873442,0.9917608737305997,0.9921410772474603
lv_spacy_cnn_5pct,CNN,5,Poss,1.0,1.0,1.0
lv_spacy_cnn_5pct,CNN,5,Reflex,0.996993987975952,0.9880834160873883,0.9925187032418953
lv_spacy_cnn_5pct,CNN,5,Aspect,0.9938398357289527,0.9897750511247444,0.9918032786885246
lv_spacy_cnn_5pct,CNN,5,Definite,0.9889737065309584,0.9885544722339975,0.9887640449438202
lv_spacy_cnn_5pct,CNN,5,Degree,0.9925925925925926,0.9900417603597815,0.991315535541975
lv_spacy_cnn_5pct,CNN,5,NumType,0.8865435356200527,0.7,0.7823050058207218
lv_spacy_cnn_5pct,CNN,5,ExtPos,1.0,0.992,0.9959839357429718
lv_spacy_cnn_5pct,CNN,5,Typo,1.0,1.0,1.0
lv_spacy_cnn_5pct,CNN,5,Foreign,0.7894736842105263,0.8333333333333334,0.8108108108108109
lv_spacy_cnn_5pct,CNN,5,Abbr,1.0,0.9705882352941176,0.9850746268656716
lv_spacy_cnn_20pct,CNN,20,ExtPos,1.0,1.0,1.0
lv_spacy_cnn_20pct,CNN,20,Case,0.9922759433962264,0.9926856603550994,0.9924807595907174
lv_spacy_cnn_20pct,CNN,20,Gender,0.9927387823496555,0.9928620197380672,0.9928003972194638
lv_spacy_cnn_20pct,CNN,20,Number,0.9958260869565217,0.9946728430804864,0.9952491309385862
lv_spacy_cnn_20pct,CNN,20,Person,0.994193207812775,0.9927956422421367,0.9934939335326184
