model,feature,p,r,f
lv_spacy_cnn_20pct,Reflex,0.745308311,0.8948497854,0.8132618235
lv_spacy_cnn_20pct,Aspect,0.7760736196,0.593432369,0.6725742136
lv_spacy_cnn_20pct,Foreign,0.4406779661,0.1368421053,0.2088353414
lv_spacy_cnn_20pct,Typo,0.0,0.0,0.0
lv_spacy_cnn_20pct,Abbr,0.9333333333,0.1278538813,0.2248995984
lv_spacy_cnn_50pct,ExtPos,0.8872180451,0.8428571429,0.8644688645
lv_spacy_cnn_50pct,Case,0.8940824585,0.888299732,0.8911817146
lv_spacy_cnn_50pct,Gender,0.911793733,0.9047619048,0.9082642089
lv_spacy_cnn_50pct,Number,0.9205401646,0.9093147077,0.9148930042
lv_spacy_cnn_50pct,Person,0.934086629,0.9276229661,0.930843577
lv_spacy_cnn_50pct,PronType,0.9801343033,0.9719755827,0.9760378936
lv_spacy_cnn_50pct,Evident,0.9173333333,0.9153805216,0.9163558871
lv_spacy_cnn_50pct,Mood,0.906455542,0.9053527981,0.9059038344
lv_spacy_cnn_50pct,Polarity,0.9164792323,0.9104722181,0.9134658496
lv_spacy_cnn_50pct,Tense,0.8822605965,0.8691281655,0.8756451456
lv_spacy_cnn_50pct,VerbForm,0.900137216,0.8941390277,0.897128096
lv_spacy_cnn_50pct,Voice,0.9104751422,0.8979554912,0.9041719803
lv_spacy_cnn_50pct,Definite,0.8779421654,0.8444372574,0.8608638312
lv_spacy_cnn_50pct,Degree,0.9095463401,0.8801508214,0.8946071722
lv_spacy_cnn_50pct,Poss,0.9944751381,0.9677419355,0.9809264305
lv_spacy_cnn_50pct,NumType,0.9669902913,0.7432835821,0.8405063291
lv_spacy_cnn_50pct,Reflex,0.8892339545,0.9216738197,0.9051633298
lv_spacy_cnn_50pct,Aspect,0.8600823045,0.8170445661,0.8380112269
lv_spacy_cnn_50pct,Foreign,0.808988764,0.3789473684,0.5161290323
lv_spacy_cnn_50pct,Typo,0.0,0.0,0.0
lv_spacy_cnn_50pct,Abbr,0.9157303371,0.7442922374,0.8211586902
lv_spacy_cnn_100pct,ExtPos,0.8984375,0.8214285714,0.8582089552
lv_spacy_cnn_100pct,Case,0.9195597447,0.9152196714,0.9173845749
lv_spacy_cnn_100pct,Gender,0.9358413891,0.9302852246,0.9330550355
lv_spacy_cnn_100pct,Number,0.9415644527,0.9316997767,0.9366061408
lv_spacy_cnn_100pct,Person,0.9550153139,0.9330465682,0.9439031312
