model,framework,data_pct,component,IV_acc,OOV_acc,IV_total,OOV_total
lv_xlmr_large_5pct,XLM-R-large,5,UAS,81.6540701872623,77.96786216166677,20773,16367
lv_xlmr_large_5pct,XLM-R-large,5,LAS,76.55129254320512,68.0332376122686,20773,16367
lv_xlmr_large_20pct,XLM-R-large,20,POS,93.27065199540155,88.21182728410513,24356,12784
lv_xlmr_large_20pct,XLM-R-large,20,MORPH,92.06355723435703,80.32697121401752,24356,12784
lv_xlmr_large_20pct,XLM-R-large,20,LEMMA,85.31368040729184,75.96996245306633,24356,12784
lv_xlmr_large_20pct,XLM-R-large,20,UAS,85.50254557398588,80.88235294117648,24356,12784
lv_xlmr_large_20pct,XLM-R-large,20,LAS,82.13171292494663,75.68836045056321,24356,12784
lv_xlmr_large_50pct,XLM-R-large,50,POS,92.75892734984265,89.9671052631579,29236,7904
lv_xlmr_large_50pct,XLM-R-large,50,MORPH,91.27787659050486,83.48937246963563,29236,7904
lv_xlmr_large_50pct,XLM-R-large,50,LEMMA,83.68107812286223,76.23987854251013,29236,7904
lv_xlmr_large_50pct,XLM-R-large,50,UAS,86.3798057189766,85.00759109311741,29236,7904
lv_xlmr_large_50pct,XLM-R-large,50,LAS,83.40060199753728,80.5161943319838,29236,7904
lv_xlmr_large_100pct,XLM-R-large,100,POS,92.6338220794504,89.77013511142306,31441,5699
lv_xlmr_large_100pct,XLM-R-large,100,MORPH,90.97356954295347,83.11984558694508,31441,5699
lv_xlmr_large_100pct,XLM-R-large,100,LEMMA,83.28615502051461,75.53956834532374,31441,5699
lv_xlmr_large_100pct,XLM-R-large,100,UAS,86.43809039152698,85.01491489735041,31441,5699
lv_xlmr_large_100pct,XLM-R-large,100,LAS,83.43882192042238,80.78610282505703,31441,5699
