model,dep_type,p,r,f
lv_spacy_cnn_1pct,appos,0.0,0.0,0.0
lv_spacy_cnn_1pct,csubj,0.0,0.0,0.0
lv_spacy_cnn_1pct,flat,0.0,0.0,0.0
lv_spacy_cnn_1pct,flat:foreign,0.0,0.0,0.0
lv_spacy_cnn_1pct,flat:name,0.0,0.0,0.0
lv_spacy_cnn_1pct,vocative,0.0,0.0,0.0
lv_spacy_cnn_1pct,orphan,0.0,0.0,0.0
lv_spacy_cnn_1pct,reparandum,0.0,0.0,0.0
lv_spacy_cnn_1pct,advmod:neg,0.0,0.0,0.0
lv_spacy_cnn_1pct,compound,0.0,0.0,0.0
lv_spacy_cnn_1pct,goeswith,0.0,0.0,0.0
lv_spacy_cnn_1pct,dislocated,0.0,0.0,0.0
lv_spacy_cnn_1pct,csubj:pass,0.0,0.0,0.0
lv_spacy_cnn_5pct,mark,0.5504926108,0.5866141732,0.5679796696
lv_spacy_cnn_5pct,fixed,0.4041666667,0.6928571429,0.5105263158
lv_spacy_cnn_5pct,nsubj,0.4664179104,0.4506128335,0.4583791713
lv_spacy_cnn_5pct,discourse,0.4844192635,0.25,0.3297974928
lv_spacy_cnn_5pct,advcl,0.2019950125,0.1232876712,0.1531190926
lv_spacy_cnn_5pct,amod,0.3650568182,0.4197060425,0.3904786022
lv_spacy_cnn_5pct,obj,0.4554024656,0.4035989717,0.4279386712
lv_spacy_cnn_5pct,cc,0.6302186879,0.6252465483,0.6277227723
lv_spacy_cnn_5pct,det,0.5369515012,0.5070883315,0.5215928211
lv_spacy_cnn_5pct,conj,0.251223491,0.2877160206,0.2682342695
lv_spacy_cnn_5pct,xcomp,0.5036144578,0.3935969868,0.4418604651
lv_spacy_cnn_5pct,aux,0.5870307167,0.6692607004,0.6254545455
lv_spacy_cnn_5pct,root,0.5083838744,0.5907960199,0.5465004794
lv_spacy_cnn_5pct,nmod,0.4827233171,0.486458602,0.4845837616
lv_spacy_cnn_5pct,ccomp,0.3506493506,0.2188006483,0.2694610778
lv_spacy_cnn_5pct,nummod,0.3699421965,0.2237762238,0.2788671024
lv_spacy_cnn_5pct,case,0.7254658385,0.7277258567,0.7265940902
lv_spacy_cnn_5pct,iobj,0.2671052632,0.2317351598,0.2481662592
lv_spacy_cnn_5pct,advmod,0.4971374046,0.5489989463,0.521782674
lv_spacy_cnn_5pct,obl,0.3211186114,0.2945599292,0.307266436
lv_spacy_cnn_5pct,advmod:emph,0.5040322581,0.4512635379,0.4761904762
lv_spacy_cnn_5pct,acl,0.2736842105,0.339314845,0.3029861617
lv_spacy_cnn_5pct,cop,0.4368770764,0.5490605428,0.486586494
lv_spacy_cnn_5pct,aux:pass,0.0,0.0,0.0
lv_spacy_cnn_5pct,nsubj:pass,0.0,0.0,0.0
lv_spacy_cnn_5pct,flat,0.2261904762,0.2317073171,0.2289156627
lv_spacy_cnn_5pct,dep,0.0030272452,0.0288461538,0.0054794521
lv_spacy_cnn_5pct,parataxis,0.0,0.0,0.0
lv_spacy_cnn_5pct,appos,0.0,0.0,0.0
lv_spacy_cnn_5pct,csubj,0.0,0.0,0.0
lv_spacy_cnn_5pct,flat:foreign,0.0,0.0,0.0
lv_spacy_cnn_5pct,flat:name,0.0,0.0,0.0
lv_spacy_cnn_5pct,vocative,0.0,0.0,0.0
lv_spacy_cnn_5pct,orphan,0.0,0.0,0.0
lv_spacy_cnn_5pct,reparandum,0.0,0.0,0.0
lv_spacy_cnn_5pct,advmod:neg,0.0,0.0,0.0
lv_spacy_cnn_5pct,compound,0.0,0.0,0.0
lv_spacy_cnn_5pct,goeswith,0.0,0.0,0.0
lv_spacy_cnn_5pct,dislocated,0.0,0.0,0.0
lv_spacy_cnn_5pct,csubj:pass,0.0,0.0,0.0
lv_spacy_cnn_20pct,mark,0.6687898089,0.688976378,0.6787330317
lv_spacy_cnn_20pct,fixed,0.5756097561,0.8428571429,0.684057971
lv_spacy_cnn_20pct,nsubj,0.6066055046,0.595890411,0.6012002182
lv_spacy_cnn_20pct,discourse,0.538869258,0.4459064327,0.488
lv_spacy_cnn_20pct,advcl,0.3697674419,0.2420091324,0.2925482981
lv_spacy_cnn_20pct,amod,0.5217152281,0.5166031573,0.5191466083
lv_spacy_cnn_20pct,obj,0.6007853403,0.5899742931,0.5953307393
lv_spacy_cnn_20pct,cc,0.6990163934,0.7008547009,0.6999343401
lv_spacy_cnn_20pct,det,0.6293838863,0.7241003272,0.6734279919
lv_spacy_cnn_20pct,conj,0.3700404858,0.4269033162,0.3964432878
lv_spacy_cnn_20pct,xcomp,0.4450867052,0.5800376648,0.5036794767
lv_spacy_cnn_20pct,aux,0.7389830508,0.8482490272,0.7898550725
lv_spacy_cnn_20pct,root,0.647103085,0.7131011609,0.6785009862
